humanGene,EnsNum,x00511204,x7d9d7119,x93904035,a154c740,a6f657a3,bfe796aa,cbf61237,d578e27f,e1f960fc,e29ce54a
NHEJ1 (XLF Cernunnos) ,ENSG00000187736.11,0.245561416093,0.356860854896,4995.51692642,15,5611.79847619,2,0.160533060634,0.17836396082,0.135034697405,0.218663556362
ATR,ENSG00000175054.13,3.35402298643,6.06206342927,64790.2719652,0,102169.961867,0,3.35278844079,2.4392971592,6.59037793972,3.55798293743
APTX (aprataxin),ENSG00000137074.17,4.12851511304,7.73470749009,163827.258634,0,396272.18387,0,10.9073708111,7.41209852015,6.34557125177,8.37638309887
MLH3,ENSG00000119684.14,1.69909441656,3.16844394791,72427.5287392,23,64642.2277424,4,3.52770478287,1.96357150254,3.1232560942,3.8484823272
PMS2,ENSG00000122512.13,2.68781551014,12.6546209539,61479.6666504,19,71770.522067,2,5.31868860888,5.50825029241,4.31838239948,7.39734081082
PIAS2,ENSG00000078043.14,1.52632662376,1.21955851734,31014.2736549,0,50299.0108581,0,1.45068944681,2.05346131596,2.65165326833,1.85403291172
XPC,ENSG00000154767.13,5.66656609639,10.7402716937,197873.863609,0,274542.444856,0,13.2772453043,11.5725110746,7.4682054281,12.0476340753
HDAC1,ENSG00000116478.10,7.21041115928,51.1462594763,608206.066435,123,698831.089437,53,28.8156022427,36.1780863051,26.6012938908,48.4241445348
CHAF1A,ENSG00000167670.14,3.09147940226,4.33242779825,70273.1352447,6,376357.346108,3,4.60514669892,9.48710130303,7.24765415366,9.28933767505
PTTG1,ENSG00000164611.11,0.224460018414,8.18527779766,56994.2667252,1,420869.224958,0,6.42570192889,9.46393979797,16.5040933359,5.64470403927
POMP,ENSG00000132963.7,54.9140524462,105.606942038,1331093.55967,0,1807881.58753,0,51.4067874025,42.4280552101,58.5524029113,48.7357535671
RAD51,ENSG00000051180.15,0.148338153995,4.88238953534,30593.0311049,0,156084.363051,0,1.79328381933,3.82311380105,6.28046854499,3.19475024258
CCNB2,ENSG00000157456.6,0.139063024618,18.536709041,39529.2548682,0,993414.108725,0,4.70211453486,5.1921062703,16.6694436106,5.8527290992
PIF1,ENSG00000140451.11,0.0836588341828,0.803596562946,4411.7444511,0,18074.8519295,0,0.324560925692,0.345776659164,0.484958391221,0.567355176456
SHPRH,ENSG00000146414.14,0.849836007804,1.10153143651,14657.6534597,2,81306.1264035,0,1.20031996336,0.672442183365,1.30340415067,0.847998521748
HUS1B,ENSG00000188996.4,0.0304012122502,0.080605737261,2443.91221467,1,4005.06891535,0,0.0946797018587,0.0349037642291,0.0221396374019,0.113698954157
NBN,ENSG00000104320.12,12.2802427618,47.4285882691,236340.126647,10,844079.171392,4,20.44214344,16.2086197849,51.2512286011,14.1417229896
TIMELESS,ENSG00000111602.10,2.10491033425,5.90960628241,72678.8744212,3625,265968.061342,1722,8.8501552576,17.1625672246,10.9818671077,11.2007703385
POLD3,ENSG00000077514.7,3.25586330632,9.96653480914,93778.6975549,0,161127.810828,0,3.28221001931,4.4005960007,7.44901525657,5.31785504237
TERT,ENSG00000164362.17,0,0.386102778676,325.60788822,1,4002.03214299,0,0.0180205547918,0.00775051090443,0.0319552283774,0.189354573241
WRN,ENSG00000165392.8,2.65761040972,7.91474433938,122716.145817,583,26413.4437142,113,3.66158226266,4.26725466827,4.13462837023,3.81300495149
DLD,ENSG00000091140.11,35.1100582531,29.9295493453,241755.449,0,585294.452667,0,17.0295455715,14.7655964669,41.5897935165,23.8771737454
RAD51D (RAD51L3),ENSG00000185379.19,1.11093247967,1.73745255121,30182.4455705,2,45009.526222,1,1.45211917622,2.58891198849,1.32195904192,1.68736261953
SIRT5,ENSG00000124523.13,2.47044551232,9.0163580576,40925.284073,1,150928.816062,2,3.56090311532,3.70653289074,2.46787299696,2.90240979605
HUS1,ENSG00000136273.10,3.23772546552,4.20465373202,84559.830698,0,121745.537392,0,2.59884270048,2.95067164146,3.11575511162,5.13838791605
DDX11,ENSG00000013573.15,0.638184033726,3.93244834577,79990.4083304,0,103009.820096,0,2.54131283756,2.49289528163,3.90774911176,2.9202622774
PRDX2,ENSG00000167815.10,92.5159872172,38.4597915721,1517607.59934,7,1543861.49868,8,126.06598102,177.010071064,154.346884109,105.173117029
XAB2 (HCNP),ENSG00000076924.10,5.96151312763,6.06945603327,297513.494783,0,222697.858825,1,13.1132154098,21.2912588336,10.2757670792,21.2524545766
ATAD2,ENSG00000156802.11,1.15355260096,12.7100118514,105507.446475,0,394558.438607,0,7.04097861106,11.1254522582,11.5075648682,10.6122884128
TP53BP1,ENSG00000067369.12,2.43465947154,6.02460010636,99267.1201845,1,135999.813163,0,7.90464679349,5.10303995031,9.23988163638,6.29012120752
PIAS1,ENSG00000033800.12,2.29603067834,3.98252097516,81361.6840213,2667,123906.354986,2155,4.45530680249,3.0726632924,4.41395666242,3.08044575091
NPRL3,ENSG00000103148.14,5.82298903876,6.35778776269,101655.876437,0,116582.524792,0,10.1844173819,17.9098322819,6.21494360566,16.2524359938
FANCM,ENSG00000187790.9,0.752535911997,1.9639115476,15855.9916242,0,19088.5779706,0,1.06581749878,0.644295541576,1.57710274283,0.903741982292
GTF2H1,ENSG00000110768.10,8.19110915448,8.79738115706,143824.181004,1,373565.999541,0,5.99786252866,5.71524617585,5.65611261835,6.40174486864
MSH6,ENSG00000116062.13,3.09968331988,14.0008094012,133852.71407,420,446607.605621,4,5.9501020676,7.21840833137,14.268616671,7.17009483108
